Batch Size,Sequential Prop,Initial Time,Initial Peak Memory,Initial Loss,Sequential Time,Sequential Peak Memory,Sequential Loss,Total Loss
30,0.98,0.38178157806396484,76.41,0.015,9.745909452438354,2378.58,0.040824,0.04359
30,0.99,0.47980189323425293,68.22,0.003,9.978073120117188,2393.96,0.043693,0.04619
35,0.05,0.4171717166900635,980.77,0.039,0.48035573959350586,913.61,0.038885,0.04138
35,0.1,0.4061548709869385,932.13,0.039,1.0864934921264648,992.86,0.039145,0.0411
35,0.15,0.4157552719116211,882.21,0.039,1.4688010215759277,1070.8,0.039337,0.0411
35,0.2,0.3952362537384033,833.38,0.039,1.9924945831298828,1149.62,0.039081,0.04114
35,0.25,0.38632702827453613,785.1,0.039,2.6770620346069336,1229.0,0.039051,0.04124
35,0.3,0.39669322967529297,735.72,0.039,2.976519823074341,1307.27,0.038958,0.04109
35,0.35,0.38745999336242676,686.89,0.039,3.694709062576294,1386.09,0.039203,0.04125
35,0.4,0.3538658618927002,640.13,0.039,4.137230157852173,1466.16,0.039248,0.0415
35,0.45,0.36310839653015137,590.39,0.038,4.835020542144775,1544.32,0.038625,0.04095
35,0.5,0.3711979389190674,541.1,0.038,5.0919647216796875,1622.9,0.038838,0.04089
35,0.55,0.5332286357879639,492.13,0.038,9.334675073623657,1701.82,0.038414,0.04082
35,0.6,0.5188450813293457,442.75,0.038,25.74328851699829,1780.21,0.038838,0.04132
35,0.65,0.3096754550933838,394.85,0.038,4.436295032501221,1859.95,0.038997,0.04142
35,0.7,0.30052924156188965,345.32,0.037,4.755320310592651,1938.07,0.03848,0.04108
35,0.75,0.2821025848388672,296.27,0.037,5.452014923095703,2016.67,0.03867,0.04136
35,0.8,0.29151391983032227,250.13,0.036,6.830421209335327,2097.25,0.038115,0.04096
35,0.85,0.2831461429595947,200.13,0.034,8.515436172485352,2175.13,0.038377,0.04114
35,0.9,0.2866523265838623,150.72,0.032,8.392165660858154,2253.61,0.038519,0.04144
35,0.95,0.2888772487640381,101.66,0.028,8.06985855102539,2332.67,0.038871,0.0419
35,0.96,0.2647898197174072,92.28,0.025,7.30216646194458,2348.29,0.039396,0.04229
35,0.97,0.2776036262512207,84.27,0.022,7.141616582870483,2363.91,0.039803,0.04278
35,0.98,0.31758761405944824,76.41,0.015,6.8798017501831055,2379.63,0.040751,0.04354
35,0.99,0.41989660263061523,68.22,0.003,6.827014207839966,2395.02,0.043594,0.0462
40,0.05,0.3689296245574951,980.77,0.039,0.3211507797241211,913.84,0.03924,0.04153
40,0.1,0.36776137351989746,932.13,0.039,0.6261999607086182,993.18,0.039202,0.04117
40,0.15,0.34295082092285156,882.21,0.039,0.9367024898529053,1071.23,0.039432,0.04137
40,0.2,0.35114073753356934,833.38,0.039,1.234635353088379,1150.15,0.038956,0.04109
40,0.25,0.33639097213745117,785.1,0.039,1.5375099182128906,1229.61,0.039114,0.04127
40,0.3,0.3400743007659912,735.72,0.039,1.8271687030792236,1307.98,0.039358,0.04151
40,0.35,0.32922911643981934,686.89,0.039,2.140244483947754,1386.9,0.038791,0.04102
40,0.4,0.33208680152893066,640.13,0.039,2.4575905799865723,1467.07,0.03927,0.04157
40,0.45,0.3166317939758301,590.39,0.039,2.7665154933929443,1545.31,0.038997,0.04134
40,0.5,0.3216545581817627,541.1,0.039,3.0664491653442383,1624.0,0.038777,0.04122
40,0.55,0.3105940818786621,492.13,0.038,3.4227354526519775,1703.01,0.038883,0.04117
40,0.6,0.29200220108032227,442.75,0.038,3.653505802154541,1781.49,0.03888,0.04132
40,0.65,0.3114473819732666,394.85,0.038,4.021705389022827,1861.33,0.038567,0.04101
40,0.7,0.28609442710876465,345.32,0.038,4.352951765060425,1939.55,0.038398,0.04111
40,0.75,0.28577613830566406,296.27,0.037,4.619089603424072,2018.25,0.038371,0.04109
40,0.8,0.29522013664245605,250.13,0.036,4.932314872741699,2098.92,0.038346,0.04109
40,0.85,0.27637529373168945,200.13,0.035,5.275693893432617,2176.9,0.038463,0.04143
40,0.9,0.27371716499328613,150.72,0.032,5.608047723770142,2255.47,0.038385,0.04136
40,0.95,0.2778353691101074,101.66,0.027,5.912166595458984,2334.62,0.038922,0.04189
40,0.96,0.26846909523010254,92.28,0.025,5.99348783493042,2350.27,0.039397,0.04245
40,0.97,0.266765832901001,84.27,0.022,6.0573296546936035,2365.91,0.039835,0.04279
40,0.98,0.3246908187866211,76.41,0.016,6.173130989074707,2381.65,0.040911,0.04372
40,0.99,0.4661860466003418,68.22,0.003,6.2318596839904785,2397.06,0.043682,0.04621
45,0.05,0.38121581077575684,980.77,0.039,0.3452036380767822,914.05,0.039246,0.04097
45,0.1,0.36626172065734863,932.13,0.039,0.5978832244873047,993.47,0.038934,0.04141
45,0.15,0.3530089855194092,882.21,0.039,0.8694655895233154,1071.59,0.038869,0.04135
45,0.2,0.3604426383972168,833.38,0.039,1.1564292907714844,1150.58,0.039241,0.04125
45,0.25,0.3487062454223633,785.1,0.039,1.461348056793213,1230.12,0.038962,0.04111
45,0.3,0.33896923065185547,735.72,0.039,1.735309362411499,1308.56,0.038662,0.04095
45,0.35,0.327988862991333,686.89,0.038,2.0070641040802,1387.56,0.038875,0.041
45,0.4,0.31415843963623047,640.13,0.039,2.296783924102783,1467.8,0.039023,0.0413
45,0.45,0.31769537925720215,590.39,0.038,2.6208457946777344,1546.12,0.038973,0.04117
45,0.5,0.3095700740814209,541.1,0.038,2.939136505126953,1624.88,0.038872,0.04123
45,0.55,0.31065821647644043,492.13,0.038,3.22487735748291,1703.97,0.038856,0.04119
45,0.6,0.31589365005493164,442.75,0.038,3.5196871757507324,1782.52,0.038562,0.04097
45,0.65,0.28646206855773926,394.85,0.038,3.8460707664489746,1862.44,0.038411,0.04101
45,0.7,0.2944924831390381,345.32,0.037,4.0525243282318115,1940.73,0.038455,0.04117
45,0.75,0.2836019992828369,296.27,0.037,4.5084733963012695,2019.5,0.038384,0.04113
45,0.8,0.2755155563354492,250.13,0.036,4.710862159729004,2100.25,0.038282,0.04112
45,0.85,0.2720224857330322,200.13,0.035,4.953422784805298,2178.3,0.038392,0.04141
45,0.9,0.2731201648712158,150.72,0.033,5.338079452514648,2256.95,0.038314,0.04135
45,0.95,0.26265478134155273,101.66,0.028,5.682063579559326,2336.18,0.038876,0.04185
45,0.96,0.27452874183654785,92.28,0.025,5.788874387741089,2351.84,0.039185,0.04214
