Batch Size,Sequential Prop,Total Time,Total Peak Memory,Total Loss
70,0.8,6.341608047485352,2108.8,0.04124
70,0.85,6.356586217880249,2187.35,0.04128
70,0.9,6.308537006378174,2266.49,0.04125
70,0.95,6.443596124649048,2346.21,0.042
70,0.96,6.45055890083313,2361.96,0.04229
70,0.97,6.542874574661255,2377.72,0.0428
70,0.98,6.571743488311768,2393.58,0.04347
70,0.99,6.848201513290405,2409.1,0.04639
75,0.05,4.685335397720337,2825.05,0.04108
75,0.1,4.771280527114868,2680.47,0.04122
75,0.15,4.919533967971802,2530.69,0.04098
75,0.2,4.899552345275879,2384.18,0.04107
75,0.25,5.026009559631348,2239.87,0.041
75,0.3,5.257076740264893,2091.18,0.04123
75,0.35,5.18958044052124,1944.67,0.04122
75,0.4,5.262712717056274,1802.36,0.04114
75,0.45,5.2905449867248535,1653.4,0.04131
75,0.5,5.47284197807312,1631.34,0.04112
75,0.55,5.569303035736084,1710.99,0.04101
75,0.6,5.522088289260864,1790.12,0.04102
75,0.65,5.628878593444824,1870.59,0.04126
75,0.7,5.70753812789917,1949.44,0.04146
75,0.75,5.781938076019287,2028.79,0.04112
75,0.8,5.982163667678833,2110.09,0.04096
75,0.85,6.123758554458618,2188.71,0.04108
75,0.9,6.223031520843506,2267.93,0.04151
75,0.95,6.293212175369263,2347.71,0.04233
75,0.96,6.35118556022644,2363.49,0.04205
75,0.97,6.4422690868377686,2379.25,0.0427
75,0.98,6.438989639282227,2395.12,0.04389
75,0.99,6.6121826171875,2410.66,0.04629
80,0.05,4.761747121810913,2825.05,0.04136
80,0.1,4.76671290397644,2680.47,0.04134
80,0.15,4.788204193115234,2530.69,0.04105
80,0.2,4.849937915802002,2384.18,0.04105
80,0.25,4.9672253131866455,2239.87,0.04088
80,0.3,5.059405326843262,2091.18,0.04112
80,0.35,5.172172546386719,1944.67,0.04085
80,0.4,5.159317970275879,1802.36,0.04127
80,0.45,5.279728651046753,1653.4,0.0414
80,0.5,5.312349081039429,1632.41,0.0412
80,0.55,5.4095611572265625,1712.16,0.0412
80,0.6,5.426652431488037,1791.38,0.04125
80,0.65,5.476567506790161,1871.94,0.04102
80,0.7,5.578397512435913,1950.89,0.04142
80,0.75,5.683126926422119,2030.32,0.04098
80,0.8,5.816928863525391,2111.73,0.04128
80,0.85,5.897589683532715,2190.44,0.04138
80,0.9,5.979931831359863,2269.74,0.04142
80,0.95,6.047987937927246,2349.63,0.04208
80,0.96,6.148264408111572,2365.43,0.04262
